"ROI 1","ROI 2","ROI 3","ROI 4","ROI 5"
-0.00803191,-0.00302211,-0.00227436,-0.00317139,-0.0132215
-0.00803191,-0.00302211,-0.00227436,-0.00317139,-0.0132215
-0.00528562,-0.00408859,-0.000700855,-0.0023114,-0.0113964
-0.00815199,-0.00441183,-0.00153021,-0.0031317,-0.0117951
-0.00696371,-0.00452515,-0.00239197,-0.00269236,-0.0125169
-0.00704596,-0.00396498,-0.00274043,-0.0021771,-0.0130482
-0.00587195,-0.00436171,-0.00121904,-0.00352206,-0.0128305
-0.00740004,-0.0048584,-0.00254665,-0.00171107,-0.0142029
-0.00855315,-0.0043871,-0.00275212,-0.00252772,-0.0117372
-0.00752502,-0.00559606,-0.00258586,-0.00259975,-0.0116856
-0.00799226,-0.00636592,-0.00160655,-0.00219897,-0.0140177
-0.00814666,-0.00639813,-0.00453187,-0.00276678,-0.0119357
-0.00714163,-0.0057626,-0.00390155,-0.00350859,-0.013478
-0.00775302,-0.00651833,-0.00152473,-0.00406604,-0.0141833
-0.00942239,-0.0062145,-0.00198778,-0.00478194,-0.0101373
-0.00979069,-0.00756325,-0.00384101,-0.00246441,-0.0125087
-0.00880085,-0.00778554,-0.00365152,-0.0040523,-0.0110089
-0.0078352,-0.00842043,-0.00274575,-0.0034498,-0.0100304
-0.0102398,-0.00790281,-0.00452183,-0.00434492,-0.0144422
-0.00838238,-0.00810745,-0.00182749,-0.00414455,-0.0138945
-0.00859259,-0.00898175,-0.00459044,-0.00423019,-0.0145478
-0.00871176,-0.00844536,-0.00236366,-0.00439571,-0.0148614
-0.00871176,-0.00844536,-0.00236366,-0.00439571,-0.0148614
-0.00888093,-0.00806024,-0.00240551,-0.00519114,-0.0129516
-0.00883664,-0.00873155,-0.0042548,-0.00433948,-0.0115965
-0.0106365,-0.00857397,-0.00392454,-0.00615736,-0.01156
-0.0109837,-0.00891389,-0.00212702,-0.00487998,-0.0158159
-0.0108593,-0.0078358,-0.00256896,-0.0048377,-0.0136309
-0.0109474,-0.00877408,-0.00406042,-0.00700943,-0.0158597
-0.0109474,-0.00877408,-0.00406042,-0.00700943,-0.0158597
-0.0115299,-0.0094895,-0.00409159,-0.00610198,-0.0157845
-0.0100512,-0.00878476,-0.00552489,-0.00594754,-0.0145347
-0.0119214,-0.00924398,-0.00184796,-0.00535679,-0.0167301
-0.0113667,-0.0101478,-0.00364025,-0.00639439,-0.0155696
-0.0106472,-0.00960714,-0.00196538,-0.00549712,-0.0162404
-0.00918759,-0.00858563,-0.00407013,-0.00597424,-0.0176877
-0.00918759,-0.00858563,-0.00407013,-0.00597424,-0.0176877
-0.0101,-0.00929286,-0.00332293,-0.00595287,-0.0183744
-0.00970802,-0.00876994,-0.00425535,-0.0058977,-0.0167611
-0.00858661,-0.00828018,-0.00425714,-0.00671453,-0.0144292
-0.0102989,-0.00872327,-0.00243349,-0.00691201,-0.0167478
-0.0102989,-0.00872327,-0.00243349,-0.00691201,-0.0167478
-0.0123054,-0.00980386,-0.00225069,-0.00701941,-0.0165656
-0.00745052,-0.0106792,-0.00229682,-0.00663215,-0.0157694
-0.0100658,-0.0102172,-0.00484916,-0.00720721,-0.0166502
-0.0108754,-0.0107095,-0.00603032,-0.00664226,-0.0156112
